Artikelcode;Onderdeel;Positie;Diameter 1;Diameter 2;Bouwgroep;Enkel / Dubbel;Materiaal;Materiaalcode;Serie;Variant / specificatie;Status
319 PAH;Beugel;2;19;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
319 PA-IS M W3;Beugel;2;19;;3;Enkel;Polyamide;PA-IS;Licht (standaard);M W3;OK
319 PP;Beugel;2;19;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
319 PP ACHV;Beugel;2;19;;3;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
319 PPH;Beugel;2;19;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
319/19 ACT;Beugel;2;19;19;3;Dubbel;ACT;ACT;Licht (standaard);;OK
319/19 PA;Beugel;2;19;19;3;Dubbel;Polyamide;PA;Licht (standaard);;OK
319/19 PAH;Beugel;2;19;19;3;Dubbel;Polyamide;PAH;Licht (standaard);;OK
319/19 PP;Beugel;2;19;19;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
319/19 PP ACHV;Beugel;2;19;19;3;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
319/19 PPH-BK;Beugel;2;19;19;3;Dubbel;Polypropyleen;PPH-BK;Licht (standaard);;OK
320 ACT;Beugel;2;20;;3;Enkel;ACT;ACT;Licht (standaard);;OK
320 AL;Beugel;2;20;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
320 PA;Beugel;2;20;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
320 PAH;Beugel;2;20;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
320 PP;Beugel;2;20;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
320 PPH;Beugel;2;20;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
320 SA;Beugel;2;20;;3;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
320.5/20.5 PPH;Beugel;2;20.5;20.5;3;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
320/20 PA;Beugel;2;20;20;3;Dubbel;Polyamide;PA;Licht (standaard);;OK
320/20 PAH;Beugel;2;20;20;3;Dubbel;Polyamide;PAH;Licht (standaard);;OK
320/20 PP;Beugel;2;20;20;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
321,3 ACT;Beugel;2;21,3;;3;Enkel;ACT;ACT;Licht (standaard);;OK
321,3 AL;Beugel;2;21,3;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
321,3 PA;Beugel;2;21,3;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
321,3 PAH;Beugel;2;21,3;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
321,3 PP;Beugel;2;21,3;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
321,3 PP BK;Beugel;2;21,3;;3;Enkel;Polypropyleen;PP;Licht (standaard);BK;OK
321,3 PPH;Beugel;2;21,3;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
321,3 SA;Beugel;2;21,3;;3;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
321,3/21,3 PA;Beugel;2;21,3;21,3;3;Dubbel;Polyamide;PA;Licht (standaard);;OK
321,3/21,3 PP;Beugel;2;21,3;21,3;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
321,3/21,3 PPH;Beugel;2;21,3;21,3;3;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
322 AL;Beugel;2;22;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
322 PA;Beugel;2;22;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
322 PAH;Beugel;2;22;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
322 PP;Beugel;2;22;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
322 PP BK;Beugel;2;22;;3;Enkel;Polypropyleen;PP;Licht (standaard);BK;OK
322 PPH;Beugel;2;22;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
322 SA;Beugel;2;22;;3;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
322/18 PP;Beugel;2;22;18;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
322/22 PA;Beugel;2;22;22;3;Dubbel;Polyamide;PA;Licht (standaard);;OK
322/22 PP;Beugel;2;22;22;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
323 AL;Beugel;2;23;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
323 PA;Beugel;2;23;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
323 PP;Beugel;2;23;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
323,9 PPH;Beugel;2;23,9;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
324 PP;Beugel;2;24;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
324 PPH;Beugel;2;24;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
325 ACT;Beugel;2;25;;3;Enkel;ACT;ACT;Licht (standaard);;OK
325 AL;Beugel;2;25;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
325 PA;Beugel;2;25;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
325 PAH;Beugel;2;25;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
325 PP;Beugel;2;25;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
325 PPH;Beugel;2;25;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
325 SA;Beugel;2;25;;3;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
325 SAH;Beugel;2;25;;3;Enkel;SA / elastomeer;SAH;Licht (standaard);;OK
325,4 ACT;Beugel;2;25,4;;3;Enkel;ACT;ACT;Licht (standaard);;OK
325,4 AL;Beugel;2;25,4;;3;Enkel;Aluminium;AL;Licht (standaard);;OK
325,4 PA;Beugel;2;25,4;;3;Enkel;Polyamide;PA;Licht (standaard);;OK
325,4 PAH;Beugel;2;25,4;;3;Enkel;Polyamide;PAH;Licht (standaard);;OK
325,4 PP;Beugel;2;25,4;;3;Enkel;Polypropyleen;PP;Licht (standaard);;OK
325,4 PP ACHV;Beugel;2;25,4;;3;Enkel;Polypropyleen;PP;Licht (standaard);ACHV;OK
325,4 PPH;Beugel;2;25,4;;3;Enkel;Polypropyleen;PPH;Licht (standaard);;OK
325,4 SA;Beugel;2;25,4;;3;Enkel;SA / elastomeer;SA;Licht (standaard);;OK
325,4/25,4 PP ACHV;Beugel;2;25,4;25,4;3;Dubbel;Polypropyleen;PP;Licht (standaard);ACHV;OK
325,4/25,4 PPH;Beugel;2;25,4;25,4;3;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
325.4/25.4 ACT;Beugel;2;25.4;25.4;3;Dubbel;ACT;ACT;Licht (standaard);;OK
325.4/25.4 PP;Beugel;2;25.4;25.4;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
325/25 PA;Beugel;2;25;25;3;Dubbel;Polyamide;PA;Licht (standaard);;OK
325/25 PP;Beugel;2;25;25;3;Dubbel;Polypropyleen;PP;Licht (standaard);;OK
325/25 PPH;Beugel;2;25;25;3;Dubbel;Polypropyleen;PPH;Licht (standaard);;OK
4 PAR;Beugel;2;;;4;Enkel;PAR;PAR;Licht (standaard);;Controle
4 PPR;Beugel;2;;;4;Enkel;PPR;PPR;Licht (standaard);;Controle
4 S PPR;Beugel;2;;;4;Enkel;Controle;S;Licht (standaard);PPR;Controle
4000 PP;Beugel;2;00;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4010 PPR;Beugel;2;10;;4;Enkel;PPR;PPR;Zwaar;;OK
4010/10 PP;Beugel;2;10;10;4;Dubbel;Polypropyleen;PP;Zwaar;;OK
4012 AL;Beugel;2;12;;4;Enkel;Aluminium;AL;Zwaar;;OK
4012 PP;Beugel;2;12;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4012 PPR;Beugel;2;12;;4;Enkel;PPR;PPR;Zwaar;;OK
4012,7 PP;Beugel;2;12,7;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4012,7 PPR;Beugel;2;12,7;;4;Enkel;PPR;PPR;Zwaar;;OK
4012,7/12,7 PP;Beugel;2;12,7;12,7;4;Dubbel;Polypropyleen;PP;Zwaar;;OK
4014 PP;Beugel;2;14;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4014 PPR;Beugel;2;14;;4;Enkel;PPR;PPR;Zwaar;;OK
4015 PAR;Beugel;2;15;;4;Enkel;PAR;PAR;Zwaar;;OK
4015 PPR;Beugel;2;15;;4;Enkel;PPR;PPR;Zwaar;;OK
4016 PAH;Beugel;2;16;;4;Enkel;Polyamide;PAH;Zwaar;;OK
4016 PAR;Beugel;2;16;;4;Enkel;PAR;PAR;Zwaar;;OK
4016 PE MECH;Beugel;2;16;;4;Enkel;Polyethyleen;PE;Zwaar;MECH;OK
4016 PP;Beugel;2;16;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4016 PPH;Beugel;2;16;;4;Enkel;Polypropyleen;PPH;Zwaar;;OK
4016 PPR;Beugel;2;16;;4;Enkel;PPR;PPR;Zwaar;;OK
4016/16 PA;Beugel;2;16;16;4;Dubbel;Polyamide;PA;Zwaar;;OK
4016/16 PP;Beugel;2;16;16;4;Dubbel;Polypropyleen;PP;Zwaar;;OK
4017,2 PPR;Beugel;2;17,2;;4;Enkel;PPR;PPR;Zwaar;;OK
4017,2/17,2 PPR;Beugel;2;17,2;17,2;4;Dubbel;PPR;PPR;Zwaar;;OK
4018 PP;Beugel;2;18;;4;Enkel;Polypropyleen;PP;Zwaar;;OK
4018 PPH;Beugel;2;18;;4;Enkel;Polypropyleen;PPH;Zwaar;;OK
