artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0323-20;NO-SKIVE 31.8MM (11/4) DN32 COMPACT 1SC. 100 BAR LONGLIFE;Interpump;THE201K-20;100;13002-20MM;10;45,5;;;;;;;;;;;;;;;;;;;;;;
0323-24;NO-SKIVE 38.1MM (11/2) DN40 COMPACT 1SC. 90 BAR LONGLIFE;Interpump;THE201K-24;90;13002-24MM;10;53,6;;;;;;;;;;;;;;;;;;;;;;
0323-32;NO-SKIVE 50.8MM (2) DN50 COMPACT 1SC.75 BAR LONGLIFE;Interpump;THE201K-32;75;13002-32MM;10;66,2;;;;;;;;;;;;;;;;;;;;;;
0328-03;THERMOPLASTIC HIGH PRESSURE R8 (3/16) DN05 W.P. 350 BAR;Calseyde;R8-DN05-0751;350;17001-03;10;;;;17003-03;10;12;;;;;;;;;;;;;;;;;
0328-04;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 350 BAR;Hansaflex;NY806;350;17003-04;10;15,3;;;;;;;;;;;;;;;;;;;;;;
0328-04D;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 350 BAR TWIN;Dicsa;MT28004;350;17003-04;10;;;;;;;;;;;;;;;;;;;;;;;
0328-05;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 300 BAR;Calseyde;0753-5;300;17003-05;10;17,5;;;;;;;;;;;;;;;;;;;;;;
0328-05D;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 300 BAR TWIN;Calseyde;R8D-DN08-1753;300;17003-05;10;;;;;;;;;;;;;;;;;;;;;;;
0328-06;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 280 BAR;Hansaflex;NY810;280;17003-06;10;19,5;;;;;;;;;;;;;;;;;;;;;;
0328-06D;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 280 BAR TWIN;Calseyde;R8D-DN10-1754;280;17003-06;10;;;;;;;;;;;;;;;;;;;;;;;
